CODFILIAL,SEGMENTO,FATURAMENTO,MARGEM,CLIENTE,Mes
10,FLV NACIONAIS,5148512.09,28.5774015100691%,SDB COMERCIO DE ALIM,Jan
10,FLV NACIONAIS,4732956.29,25.707430082008%,SDB COMERCIO DE ALIM,Mar
10,FLV NACIONAIS,4502084.88,26.2718466944644%,SDB COMERCIO DE ALIM,Fev
04,FLV NACIONAIS,2692393.97,24.1896087896559%,NO PONTO,Mar
03,FLV NACIONAIS,2593435.4,4.38553433796731%,COMPER,Mar
10,FLV NACIONAIS,2550223.39,28.8600281450964%,COMPER,Jan
04,FLV NACIONAIS,2210175.66,22.562712656552%,NO PONTO,Jan
03,FLV NACIONAIS,2204786.6,2.91511205664984%,COMPER,Jan
10,FLV NACIONAIS,2195307.69,26.7737870318603%,COMPER,Mar
10,FLV NACIONAIS,2184408.02,27.3426384688972%,COMPER,Fev
03,FLV NACIONAIS,2106943,3.20312414716487%,COMPER,Fev
04,FLV NACIONAIS,2076467.45,25.3158678892155%,NO PONTO,Fev
10,FLV NACIONAIS,1581182.05,34.6955783645505%,SUPERMERCADOS SCHMIT,Jan
04,FLV NACIONAIS,1271783.8,23.4196495062306%,ITALO SUPERMERCADOS,Mar
10,FLV NACIONAIS,1226567.93,19.1541165124213%,SDB COMERCIO DE ALIM,Abr
10,FLV NACIONAIS,1195314.64,32.1696693394634%,SUPERMERCADOS SCHMIT,Fev
04,FLV NACIONAIS,1100155.46,22.5248862811519%,ITALO SUPERMERCADOS,Jan
04,FLV NACIONAIS,1013213.48,24.4265495741948%,ITALO SUPERMERCADOS,Fev
10,FLV NACIONAIS,980903.06,28.6512373503908%,SUPERMERCADOS SCHMIT,Mar
10,FLV NACIONAIS,965826.89,27.7022432024817%,SDB COMERCIO,Jan
04,FLV NACIONAIS,878681.62,28.1580382435763%,CENTER SUPERMERCADOS,Mar
10,FLV NACIONAIS,849969.95,25.3414240574446%,SDB COMERCIO,Mar
10,FLV NACIONAIS,796593.16,25.6388973277594%,SDB COMERCIO,Fev
09,FLV NACIONAIS,752091.2,37.2075523761211%,CHAMA,Mar
04,FLV NACIONAIS,745207.67,30.9351671868734%,CENTER SUPERMERCADOS,Jan
04,FLV NACIONAIS,714908.25,28.5961348898349%,MANFROI SUPERMERCADO,Mar
10,FLV NACIONAIS,708763.4,25.9141135173947%,ANGELONI CD- PORTO,Jan
14,ALIMENTOS INDUSTRIALIZADOS,675790.22,53.2931795180583%,MUFFATO CAMBE,Jan
04,FLV NACIONAIS,655167.140000001,29.9683926580511%,CENTER SUPERMERCADOS,Fev
09,FLV NACIONAIS,630040.5,35.0819576389904%,CHAMA,Jan
10,FLV NACIONAIS,608385.87,26.5844155109103%,ANGELONI CD- PORTO,Fev
09,FLV NACIONAIS,591445.57,35.9150727371064%,CHAMA,Fev
04,FLV NACIONAIS,587913.99,24.1912156062148%,CLIENTE PADRAO,Mar
09,FLV NACIONAIS,563238.7,27.4505022956237%,IRMAOS MUFFATO,Mar
14,ALIMENTOS INDUSTRIALIZADOS,556920,44.1191679373919%,SUPERMERCADOS KOCH,Fev
04,FLV NACIONAIS,556415.6,29.6845398177921%,MANFROI SUPERMERCADO,Fev
10,FLV NACIONAIS,556154.49,21.0885508769189%,COMPER,Abr
05,FLV NACIONAIS,550500.34,31.3481200091535%,QUELUZ,Mar
05,FLV NACIONAIS,540345.67,30.3324442448893%,QUELUZ,Jan
10,FLV NACIONAIS,526081.84,26.4202700490801%,ANGELONI CD- PORTO,Mar
13,FLV NACIONAIS,524938.64,21.2569608383182%,MESCHKE,Jan
13,FLV NACIONAIS,517933.56,24.3068970352105%,COSTAO DO SANTINHO,Mar
04,FLV NACIONAIS,500119.81,27.2950398513435%,MANFROI SUPERMERCADO,Jan
04,FLV NACIONAIS,500029.13,27.4790327528843%,AMAURI SUPERMERCADO,Mar
04,FLV NACIONAIS,498900.61,26.4651418926908%,CLIENTE PADRAO,Jan
09,FLV NACIONAIS,487426.35,21.9641935647234%,IRMAOS MUFFATO,Jan
12,FLV IMPORTADOS,466527.3,16.3945911311085%,TENDA ATACADO,Jan
05,FLV NACIONAIS,458275.99,30.725630872844%,QUELUZ,Fev
14,ALIMENTOS INDUSTRIALIZADOS,451492.6,50.9025266456459%,IRMAOS MUFFATO,Mar
13,FLV NACIONAIS,447323.87,23.0818552942413%,MESCHKE,Fev
15,FLV NACIONAIS,440190.82,11.7583686413877%,STOCK ATACADISTA,Mar
05,FLV NACIONAIS,437638.75,30.3688866780175%,IMPERIAL SUPERMERCAD,Mar
13,FLV NACIONAIS,435538.07,25.2560620016524%,COSTAO DO SANTINHO,Fev
13,FLV NACIONAIS,434939.09,28.1598026404111%,COSTAO DO SANTINHO,Jan
05,FLV NACIONAIS,432837.38,27.5994201577982%,COTRISAL,Mar
04,FLV NACIONAIS,431544.53,27.1413568282281%,CLIENTE PADRAO,Fev
09,FLV NACIONAIS,430842.65,25.916679379806%,IRMAOS MUFFATO,Fev
15,FLV NACIONAIS,428576.85,10.2197294823213%,STOCK ATACADISTA,Fev
13,FLV NACIONAIS,425392.23,23.5794603300582%,MESCHKE,Mar
05,FLV NACIONAIS,420871.84,25.1523065629044%,SDB COMERCIO DE ALIM,Mar
04,FLV NACIONAIS,418492.91,18.6533795208405%,NO PONTO,Abr
04,FLV NACIONAIS,415472.08,28.0550674892332%,AMAURI SUPERMERCADO,Fev
05,FLV NACIONAIS,412658.39,26.1722490576726%,IMPERIAL SUPERMERCAD,Jan
15,FLV NACIONAIS,411395,30.0144712508226%,MUFFATO CAMBE,Mar
05,FLV NACIONAIS,406491.33,31.0694112055558%,IMPERIAL SUPERMERCAD,Fev
15,FLV NACIONAIS,402831.7,24.3837549351832%,MUFFATO CAMBE,Fev
04,FLV NACIONAIS,390741.58,26.2277196910859%,SUPER POLO,Mar
01,FLV NACIONAIS,383860,4.97180673943627%,CLIENTE PADRAO,Fev
04,FLV NACIONAIS,379678.27,26.8898040259089%,AMAURI SUPERMERCADO,Jan
01,FLV NACIONAIS,360660,6.11013338046913%,CLIENTE PADRAO,Mar
15,FLV NACIONAIS,357754.6,27.588089558839%,MUFFATO CAMBE,Jan
14,ALIMENTOS INDUSTRIALIZADOS,356898,32.7713157155931%,SUPERMERCADOS KOCH,Jan
14,ALIMENTOS INDUSTRIALIZADOS,349350.72,46.5556397880044%,PASSARELA CENTER,Jan
15,FLV NACIONAIS,349051.88,10.9735395738356%,STOCK ATACADISTA,Jan
12,FLV IMPORTADOS,340777,10.5877667125422%,CLIENTE PADRAO,Mar
10,FLV NACIONAIS,335720.53,35.5149129298908%,SUP. SCHMIT LOJA 07,Jan
05,FLV NACIONAIS,327600.52,28.4770156974941%,COMERCIAL CELEIRO,Jan
05,FLV NACIONAIS,315599.12,28.3950676445325%,COTRISAL,Jan
21,FLV NACIONAIS,310569.31,27.2313616754139%,COMPER,Jan
05,FLV NACIONAIS,308352.6,26.1172520290083%,SUPERMERCADO ROYAL,Mar
05,FLV NACIONAIS,304356.24,26.8946151076481%,COTRISAL,Fev
04,FLV NACIONAIS,296771.49,28.9652796062048%,SUPERMERCADO AMIGAO,Mar
04,FLV NACIONAIS,295218.99,26.1704454006822%,SUPER POLO,Jan
05,FLV NACIONAIS,294813.31,30.9087504328499%,SDB COMERCIO DE ALIM,Jan
04,FLV NACIONAIS,290589.08,28.5599084436886%,SUPER POLO,Fev
21,FLV NACIONAIS,287618.76,22.0066603887694%,SDB COMERCIO DE ALIM,Mar
14,ALIMENTOS INDUSTRIALIZADOS,265737.84,48.5524988510558%,PASSARELA CENTER,Fev
05,FLV NACIONAIS,265375.45,29.8849345791944%,COMERCIAL CELEIRO,Mar
09,FLV NACIONAIS,262904.3,25.3336386738445%,LAR,Jan
05,FLV NACIONAIS,262410.26,32.5992323127652%,ATACADAO,Jan
09,FLV NACIONAIS,261416.6,26.4051038610402%,LAR,Mar
12,FLV IMPORTADOS,259401,-9.55242409242827%,CLIENTE PADRAO,Fev
04,FLV NACIONAIS,253529.18,18.8921924144815%,ITALO SUPERMERCADOS,Abr
05,FLV NACIONAIS,252286.37,29.5733123855685%,ATACADAO S.A,Mar
14,ALIMENTOS INDUSTRIALIZADOS,251377.8,46.8023902419622%,ITALO SUPERMERCADOS,Jan
14,ALIMENTOS INDUSTRIALIZADOS,246278,46.164594888703%,FARINHA PINDUCA,Fev
04,FLV NACIONAIS,245892.6,25.2443679777729%,SUPERDIA ATACADO,Fev
05,FLV NACIONAIS,244476.64,26.7931094848162%,COOP REG ITAIPU,Mar
12,FLV IMPORTADOS,244412,17.1584704719899%,ESCOAR ALIMENTOS IMP,Fev
10,FLV NACIONAIS,243948.41,32.8720060664978%,SUP. SCHMIT LOJA 07,Fev
12,FLV IMPORTADOS,242597,-9.03752835772906%,CLIENTE PADRAO,Jan
05,FLV NACIONAIS,235065.67,28.8784276986926%,ATACADAO,Fev
05,FLV NACIONAIS,234548.8,28.9994334343452%,ATACADAO,Mar
05,FLV NACIONAIS,231258.07,25.944512448798%,COOP REG ITAIPU,Fev
12,FLV IMPORTADOS,231215,20.6754012499189%,SUPER PORECATU LJ 02,Mar
10,FLV NACIONAIS,230511.89,29.6978822280512%,FORT ATACADISTA,Jan
04,FLV NACIONAIS,229155.85,28.5838775488385%,DEPOSITO BRASIL,Mar
05,FLV NACIONAIS,229116.2,26.9382642213864%,SUPERMERCADO ROYAL,Jan
11,FLV NACIONAIS,229109.84,12.7552386008388%,CLIENTE PADRAO,Mar
10,FLV NACIONAIS,228136.18,27.5729881248825%,COMPER PASSA VINTE,Mar
05,FLV NACIONAIS,227956.37,25.7364258607908%,SUPERMERCADO ROYAL,Fev
05,FLV NACIONAIS,226912.54,24.5656960223902%,SDB COMERCIO DE ALIM,Fev
09,FLV NACIONAIS,226811.24,31.5074249167458%,CHAMA,Abr
05,FLV NACIONAIS,224432.15,32.4746424476172%,TIO ROQUE ATACADO,Mar
14,ALIMENTOS INDUSTRIALIZADOS,224378.65,48.7672522205208%,IRMAOS MUFFATO,Fev
14,ALIMENTOS INDUSTRIALIZADOS,224327.28,45.9134884096861%,PASSARELA CENTER,Mar
14,ALIMENTOS INDUSTRIALIZADOS,222078.34,47.9903047456137%,GERIBA,Mar
05,FLV NACIONAIS,219410.87,31.5966112380629%,ATACADAO S.A,Jan
10,FLV NACIONAIS,217686,16.2304281270153%,SDB COMERCIO,Abr
05,FLV NACIONAIS,216261.66,24.1808401498444%,SUPER MARCON,Mar
01,FLV IMPORTADOS,215002,8.11939432656441%,JPJS COMERCIO DE FRU,Mar
09,FLV NACIONAIS,214842.28,24.894885332579%,ALLMAYER,Jan
09,FLV NACIONAIS,214280.33,22.0890649817157%,ALLMAYER,Mar
05,FLV NACIONAIS,213883.51,26.3689379045631%,COOP REG ITAIPU,Jan
10,FLV NACIONAIS,212284.6,23.0370435629402%,SUPERMERCADOS SCHMIT,Abr
14,ALIMENTOS INDUSTRIALIZADOS,211850.71,49.7192669985623%,SUPER MUFFATO,Mar
11,FLV NACIONAIS,211029.47,43.2982491402741%,BOCCHI ATACADO,Jan
10,FLV NACIONAIS,210199.2,21.705921443211%,FORT ATACADISTA,Mar
12,FLV IMPORTADOS,208580,31.6020661856362%,M C C DA ANUNCIACAO,Mar
14,ALIMENTOS INDUSTRIALIZADOS,208205.85,45.1788857613751%,GERIBA,Fev
03,FLV NACIONAIS,207120,-2.43337195828506%,COMPER,Abr
05,FLV NACIONAIS,206517.59,25.5239555453774%,ALBERTI,Mar
10,FLV NACIONAIS,205747.83,30.3959803014958%,COMPER PASSA VINTE,Fev
04,FLV NACIONAIS,204430.73,19.3876647165521%,JORGE DOBGINSKI,Jan
09,FLV NACIONAIS,204216.1,30.5293704707905%,LAR,Fev
04,FLV NACIONAIS,204066.05,27.9240931453321%,JORGE DOBGINSKI,Fev
14,ALIMENTOS INDUSTRIALIZADOS,202234,43.2994927213031%,BOCCHI ATACADO,Jan
05,FLV NACIONAIS,201823.47,30.2212404318159%,ATACADAO S.A,Fev
09,FLV NACIONAIS,200547.04,19.9360873216245%,ATACADAO S.A.,Mar
09,FLV NACIONAIS,200489.1,20.1747891528491%,MAXXI UMUARAMA,Mar
04,FLV NACIONAIS,199217.22,29.4749284022737%,SUPERMERCADO AMIGAO,Fev
10,FLV NACIONAIS,198340.38,32.178483206689%,COMPER PASSA VINTE,Jan
14,ALIMENTOS INDUSTRIALIZADOS,196970.21,54.9202079267035%,IRMAOS MUFFATO,Jan
04,SEGMENTO ORGANICOS,196895.2,23.3446640903384%,GOGREEN,Jan
12,FLV IMPORTADOS,193823.9,9.90333739543989%,SANTA MARIA HORTIFRU,Jan
10,FLV NACIONAIS,190919.5,23.8472715142561%,FORT ATACADISTA,Fev
11,FLV NACIONAIS,190856.19,41.3075827773781%,BOCCHI ATACADO,Mar
01,FLV IMPORTADOS,190340,10.6678350530629%,FRUTAS GABRIELE,Jan
11,FLV NACIONAIS,188934.8,14.6774087825634%,ITALO SUPERMERCADOS,Mar
09,FLV NACIONAIS,188567.56,21.6709863055429%,ITALO SUPERMERCADOS,Jan
05,FLV NACIONAIS,188351.88,30.3718886745383%,TIO ROQUE ATACADO,Fev
13,FLV NACIONAIS,187740,12.8406482193635%,SUPERMERCADOS KOCH,Jan
10,FLV NACIONAIS,187380.44,28.6555593003947%,SUP. SCHMIT LOJA 07,Mar
12,FLV IMPORTADOS,184615,20.3748782655797%,M C C DA ANUNCIACAO,Jan
14,ALIMENTOS INDUSTRIALIZADOS,183032,41.9012090399493%,FARINHA PINDUCA,Jan
11,FLV NACIONAIS,182782.94,40.3924390427247%,BOCCHI ATACADO,Fev
21,FLV NACIONAIS,182660.81,20.5685415058244%,COMPER,Fev
01,FLV IMPORTADOS,180978,-35.8416152792052%,GARCIA 3G COMERCIAL,Fev
05,FLV NACIONAIS,179530.47,22.6949717176455%,ALBERTI,Jan
05,FLV NACIONAIS,178273.69,27.1753548322245%,COOPERATIVA REGIONAL,Mar
11,FLV NACIONAIS,178119.85,23.31826126795%,IRMAOS MUFFATO,Mar
14,ALIMENTOS INDUSTRIALIZADOS,176394.06,46.2221162631839%,MUFFATO CAMBE,Mar
14,ALIMENTOS INDUSTRIALIZADOS,175856.07,49.8775222221266%,IRMAOS MUFFATO & CIA,Mar
05,FLV NACIONAIS,174892.97,20.4813906279881%,COMERCIAL CELEIRO,Abr
12,FLV IMPORTADOS,174608.64,10.214338683355%,SANTA MARIA HORTIFRU,Fev
09,FLV NACIONAIS,172029.9,25.8748748725038%,IRMAOS MUFFATO,Abr
05,FLV NACIONAIS,169469.73,20.5935103454759%,SUPER MARCON,Fev
14,ALIMENTOS INDUSTRIALIZADOS,169346.98,47.7357670263187%,ITALO SUPERMERCADOS,Fev
05,FLV NACIONAIS,167201.28,24.8364253538002%,KROSS,Mar
05,FLV NACIONAIS,165124.16,26.0905230221913%,COOPERATIVA REGIONAL,Jan
12,FLV IMPORTADOS,165100,11.5422519382193%,SUPERMERCADO RONDON,Fev
12,FLV IMPORTADOS,164830,15.4114185342474%,SUPERMERCADO RONDON,Mar
05,FLV NACIONAIS,164464.78,25.4030096324197%,ALBERTI,Fev
05,FLV NACIONAIS,163429.33,22.3617314407396%,TCHE HIPERMERCADO,Mar
12,FLV IMPORTADOS,161040,10.5490071907205%,SUPER PORECATU LJ 02,Fev
11,FLV NACIONAIS,160462.3,21.3794283748613%,IRMAOS MUFFATO,Fev
05,FLV NACIONAIS,159978.23,23.8594640658295%,CLIENTE PADRAO,Fev
01,FLV IMPORTADOS,159600,19.2185061842105%,OTHIL BH,Jan
01,FLV IMPORTADOS,159600,21.8783666290727%,FRUTABRAS RIO COMERC,Jan
04,FLV NACIONAIS,159489.24,27.674328242477%,MANO MANFROI,Jan
12,FLV IMPORTADOS,159390,14.7510466089466%,HORTIFRUTI BELO FRUT,Mar
09,FLV NACIONAIS,158785.85,20.9064153039442%,ALLMAYER,Fev
05,FLV NACIONAIS,158602.55,31.8872178852106%,TIO ROQUE ATACADO,Jan
14,ALIMENTOS INDUSTRIALIZADOS,158144,41.5018399876062%,FARINHA PINDUCA,Mar
04,FLV NACIONAIS,158132,6.48825032251537%,JFC,Fev
14,ALIMENTOS INDUSTRIALIZADOS,156967.2,48.5024448419797%,SUPERMERCADO GUANABA,Abr
04,FLV NACIONAIS,156537.32,27.0256339970458%,SUPERDIA ATACADO,Mar
04,FLV NACIONAIS,156527.44,25.9271420159878%,CENTER SUPERMERCADOS,Abr
05,FLV NACIONAIS,156255.04,28.4701830929741%,CLIENTE PADRAO,Mar
01,FLV IMPORTADOS,155734.32,53.6461153520945%,TROPICAL ARGENTINA,Jan
09,FLV NACIONAIS,155105.64,19.9549060427724%,ATACADAO S.A.,Jan
05,FLV NACIONAIS,153766.24,23.1941964178873%,ZANELLA SUPERMERCADO,Mar
01,FLV IMPORTADOS,153700,-34.0434923162004%,POMIBRAS,Fev
05,FLV NACIONAIS,153578.55,23.3880232363178%,COTRICAMPO,Mar
12,FLV IMPORTADOS,153160,9.25887046564125%,COMERCIAL LUCELMAR,Jan
05,FLV NACIONAIS,151809.86,26.7322224458938%,TCHE HIPERMERCADO,Fev
01,FLV NACIONAIS,151365,11.7075209856968%,CLIENTE PADRAO,Jan
13,FLV NACIONAIS,150423.94,28.5814651710359%,COSTAO DO SANTINHO,Abr
14,ALIMENTOS INDUSTRIALIZADOS,149647.01,44.8600427980944%,ITALO SUPERMERCADOS,Mar
13,FLV NACIONAIS,149070.53,20.848617161286%,CLIENTE PADRAO,Fev
09,FLV NACIONAIS,148888.26,24.0202736199617%,COPAGRIL,Mar
10,FLV NACIONAIS,147646.78,23.9577401126065%,MEU VIZINHO SUPERMER,Jan
05,FLV NACIONAIS,147327.61,23.0659027184382%,CLIENTE PADRAO,Jan
13,FLV NACIONAIS,146548.77,21.3933701388282%,CLIENTE PADRAO,Mar
04,FLV NACIONAIS,146359.64,26.9482604630621%,SUPER MERCOSUL LTDA,Mar
12,FLV IMPORTADOS,146037,14.1710910609171%,GRUPO FARTURA DE HOR,Jan
05,FLV NACIONAIS,145938,31.179813993923%,IMPERIAL,Mar
04,FLV NACIONAIS,145354.12,26.3690608881029%,ALVORADA MAX SUPERME,Mar
05,FLV NACIONAIS,144022.82,24.0548097933369%,ZANELLA SUPERMERCADO,Jan
11,FLV NACIONAIS,143767.79,15.9597978657111%,CLIENTE PADRAO,Fev
05,FLV NACIONAIS,142761,27.2386499224223%,IMPERIAL,Jan
05,FLV NACIONAIS,141199.95,18.1925626744202%,TCHE HIPERMERCADO,Jan
24,FLV NACIONAIS,140436.73,25.0140023624874%,CLIENTE PADRAO,Jan
14,ALIMENTOS INDUSTRIALIZADOS,140046,36.1239125041019%,SUPERMERCADOS KOCH,Mar
09,FLV NACIONAIS,139931.56,20.4497855265087%,ATACADAO S.A.,Fev
21,FLV NACIONAIS,139808.53,27.3610868664451%,TROPICAL SUPERMERCAD,Jan
01,FLV IMPORTADOS,139349.84,1.87649102431694%,TROPICAL ARGENTINA,Fev
24,FLV NACIONAIS,138274.39,2.76538792903006%,CLIENTE PADRAO,Fev
24,FLV NACIONAIS,137877.4,8.20182718124944%,CLIENTE PADRAO,Mar
12,FLV IMPORTADOS,137350,27.1221893847834%,MOISES DA FRUTAS,Fev
05,FLV NACIONAIS,136881.74,28.7566423478875%,KROSS,Jan
09,FLV NACIONAIS,136672.85,21.6457023058436%,MAXXI UMUARAMA,Fev
02,FLV NACIONAIS,135668.2,16.1051670846036%,PARANA SUPERMERCADOS,Fev
04,FLV NACIONAIS,133620.79,31.8158471073251%,MANG FOODS,Mar
13,FLV NACIONAIS,133571.25,23.1920325444285%,MESCHKE ATACADISTA,Fev
02,FLV NACIONAIS,133422.9,16.2738813487361%,PARANA SUPERMERCADOS,Jan
11,FLV NACIONAIS,133404,20.997752714945%,IRMAOS MUFFATO,Jan
12,FLV IMPORTADOS,133043,27.3307280352968%,MENSAGEIRA,Mar
04,FLV NACIONAIS,132593.88,29.2348274068155%,SUPER MERCOSUL LTDA,Fev
05,FLV NACIONAIS,132396.98,31.3290487746647%,IMPERIAL,Fev
09,FLV NACIONAIS,131797.27,27.0750968058747%,COPAGRIL,Jan
04,FLV NACIONAIS,131602.65,34.4371150960866%,MANG FOODS,Fev
05,FLV NACIONAIS,131548.39,24.5005847763184%,SDB COMERCIO DE ALIM,Abr
04,FLV NACIONAIS,131352.55,27.1751726085506%,ALVORADA MAX SUPERME,Jan
13,FLV NACIONAIS,131194.2,24.1212363808766%,MESCHKE ATACADISTA,Mar
05,FLV NACIONAIS,131100.65,25.2962427417408%,COOPERATIVA REGIONAL,Fev
14,ALIMENTOS INDUSTRIALIZADOS,131089.9,42.7538520371882%,VERONA SUPERMERCADO,Jan
04,FLV NACIONAIS,130799.51,27.3928330694817%,BITTENCOURT SUPERMER,Mar
09,FLV NACIONAIS,130695.2,20.478558834126%,ITALO SUPERMERCADOS,Mar
21,FLV NACIONAIS,130660.52,30.0524068206294%,SUPERMERCADOS COMPER,Jan
14,ALIMENTOS INDUSTRIALIZADOS,130574,46.8189839937507%,GERIBA,Jan
13,FLV NACIONAIS,128639.4,21.6602882087448%,MESCHKE ATACADISTA,Jan
09,FLV NACIONAIS,128354.73,25.8083162217994%,ITALO SUPERMERCADOS,Fev
12,FLV IMPORTADOS,126654,19.2878858385839%,PERBONI FLV S/A,Mar
04,FLV NACIONAIS,125834.97,28.7759973947141%,SUPERMERCADO UNIAO,Mar
14,ALIMENTOS INDUSTRIALIZADOS,125779.5,40.6939452056973%,MONACO ATACADO,Jan
05,FLV NACIONAIS,125123.82,20.8536012167787%,SUPER MARCON,Jan
04,FLV NACIONAIS,124969.85,24.3992569887857%,SUPER MERCOSUL LTDA,Jan
12,FLV IMPORTADOS,124951,13.6089779913726%,SUPER PORECATU LJ 02,Jan
09,FLV NACIONAIS,124819.15,30.435157634065%,SUPERMERCADO CRISTO,Mar
05,FLV NACIONAIS,123678.15,25.7656983953916%,MOURA COMERCIO,Mar
13,SEGMENTO ORGANICOS,123389.1,32.0147135930159%,SDB COMERCIO DE ALIM,Fev
05,FLV NACIONAIS,123050.5,28.4060950422794%,SUPER TREVISO,Mar
05,FLV NACIONAIS,122707.86,26.6935492070353%,SUPER TREVISO,Fev
04,FLV NACIONAIS,122627.4,26.9128759070159%,FRUTEIRA TREVO,Mar
14,ALIMENTOS INDUSTRIALIZADOS,121680,37.3406495397765%,KOMPLETA,Fev
05,FLV NACIONAIS,121150.04,27.0941558170348%,COOP,Mar
13,FLV NACIONAIS,120553.29,18.8832279732889%,MESCHKE,Abr
12,FLV IMPORTADOS,120400.4,24.162947307484%,TENDA ATACADO,Mar
04,FLV NACIONAIS,119964.28,26.8139055254146%,SUPER UBIALLI,Mar
12,FLV IMPORTADOS,119594,9.09639865712327%,SUPERMERCADO RONDON,Jan
21,FLV NACIONAIS,119310.71,26.108264026495%,SDB COMERCIO DE ALIM,Jan
04,FLV NACIONAIS,118827.53,20.6213411972387%,AMAURI SUPERMERCADO,Abr
14,ALIMENTOS INDUSTRIALIZADOS,118112.88,37.7463812922012%,ATACADO MARINGA INDU,Fev
05,FLV NACIONAIS,115715.96,26.6315333561919%,KROSS,Fev
05,FLV NACIONAIS,115356.91,-40.9325294110271%,QUELUZ,Abr
12,FLV IMPORTADOS,114040,8.86912870922484%,DIFAR,Mar
14,ALIMENTOS INDUSTRIALIZADOS,112939.95,49.2338843228208%,SUPERPAO,Jan
12,FLV IMPORTADOS,112666.56,25.1987061023253%,SUPER ADEGA,Mar
10,FLV NACIONAIS,112520.85,20.8322029233167%,MEU VIZINHO SUPERMER,Mar
14,ALIMENTOS INDUSTRIALIZADOS,111674.55,45.1974631646535%,NO PONTO,Mar
04,FLV NACIONAIS,111425.06,24.6909103126351%,SUPER UBIALLI,Jan
04,FLV NACIONAIS,111339.71,24.3699954848791%,MANO MANFROI,Fev
13,SEGMENTO ORGANICOS,110416.27,33.1264485297321%,SDB COMERCIO DE ALIM,Mar
10,FLV NACIONAIS,110316.08,25.9938691877418%,MEU VIZINHO SUPERMER,Fev
05,FLV NACIONAIS,110271.75,26.4700392802327%,ZANELLA SUPERMERCADO,Fev
14,ALIMENTOS INDUSTRIALIZADOS,110124,48.4253715902074%,JLA COMERCIO,Mar
09,FLV NACIONAIS,109996.66,26.5081667206986%,COPAGRIL,Fev
05,FLV NACIONAIS,109906.02,27.6474055925235%,COOP,Jan
21,FLV NACIONAIS,109812.46,16.6741841135332%,CLIENTE PADRAO,Jan
14,ALIMENTOS INDUSTRIALIZADOS,109418.38,49.1354836362959%,CENTER SUPERMERCADOS,Mar
12,FLV IMPORTADOS,108912.96,16.5532675358378%,SANTA MARIA HORTIFRU,Abr
05,FLV NACIONAIS,108732.83,28.0996340203782%,SUPER TREVISO,Jan
11,FLV NACIONAIS,108685.49,17.0290885287447%,CLIENTE PADRAO,Jan
05,FLV NACIONAIS,106869.74,26.6416904261206%,COOP,Fev
04,FLV NACIONAIS,106502.45,28.4150556111275%,MANFROI SUPERMERCADO,Abr
05,FLV NACIONAIS,106352.9,24.7608804179294%,MOURA COMERCIO,Fev
14,ALIMENTOS INDUSTRIALIZADOS,105954.96,38.0374529800209%,GCA DISTRIBUIDORA,Jan
02,FLV NACIONAIS,105926,9.44062162264222%,CLIENTE PADRAO,Jan
09,FLV NACIONAIS,105028.9,25.3347115508208%,MUFFATAO NEVA,Mar
05,FLV NACIONAIS,104486.31,30.1637035652389%,COMERCIAL CELEIRO,Fev
05,FLV NACIONAIS,104386.85,28.6485655712381%,COOP ALFA SM,Mar
14,ALIMENTOS INDUSTRIALIZADOS,104373.04,48.1419523854053%,DEQUECH,Fev
04,FLV NACIONAIS,104018.57,30.2601831745877%,MANO MANFROI,Mar
01,FLV IMPORTADOS,103936,13.4990063789255%,WEC ALIMENTOS,Mar
05,FLV NACIONAIS,103498.85,24.5068730835595%,HIPERMERCADO WAGNER,Mar
09,FLV NACIONAIS,103383.6,28.5437752699655%,MUFFATAO NEVA,Fev
12,FLV IMPORTADOS,103176,26.0172599247887%,GREEN AGRONEGOCIOS L,Mar
04,FLV NACIONAIS,102950.29,29.5138032667667%,ALVORADA MAX SUPERME,Fev
05,FLV NACIONAIS,102235.54,27.1770700873688%,MOURA E SANTOS,Jan
14,ALIMENTOS INDUSTRIALIZADOS,101780.16,49.4027073013941%,IRMAOS MUFFATO S.A,Mar
05,FLV NACIONAIS,101649.3,29.5026978788836%,BRASAO AVENIDA,Mar
05,FLV NACIONAIS,101201.79,29.4506223852365%,COOP ALFA SM,Fev
14,ALIMENTOS INDUSTRIALIZADOS,100950.47,48.3546000650835%,SUPERPAO,Abr
21,FLV NACIONAIS,100520.44,26.8022781985489%,SDB COMERCIO DE ALIM,Fev
15,FLV NACIONAIS,98340,25.8244946322863%,MUFFATO CAMBE,Abr
09,FLV NACIONAIS,98232.36,30.7829715889957%,MUFFATAO NEVA,Jan
05,FLV NACIONAIS,98210.96,22.1004543688403%,SUL CARGAS TRANSPA,Fev
12,FLV IMPORTADOS,97650,18.3137571530978%,PERBONI SIA DF,Fev
14,ALIMENTOS INDUSTRIALIZADOS,97565.89,49.6186079577958%,MUFFATO,Mar
05,FLV NACIONAIS,97557,30.3066196343334%,BRASAO CENTRO,Mar
05,FLV NACIONAIS,97395.53,29.8710985298812%,COOP ALFA SM,Jan
12,FLV IMPORTADOS,97221.6,43.7006730705934%,ATACADAO DIA A DIA,Mar
09,FLV NACIONAIS,95735.2,19.8935892881268%,MAXXI UMUARAMA,Jan
05,FLV NACIONAIS,95019.15,23.0545500670128%,SUPERMERCADO CRISTO,Mar
14,ALIMENTOS INDUSTRIALIZADOS,94518.87,35.7416310478764%,VERONA SUPERMERCADO,Mar
